id,gsn,shardId,latency (ns),dataGenTime (ns),totalBytes,totalTime (ns)
609,30610,0,20509584,598,1000000,81296251770
610,30611,0,19807144,635,1000000,81296251770
611,30612,0,20042059,588,1000000,81296251770
612,30613,0,20423310,595,1000000,81296251770
613,30614,0,19531934,578,1000000,81296251770
614,30615,0,19321036,504,1000000,81296251770
615,30616,0,20565624,658,1000000,81296251770
616,30617,0,20065458,497,1000000,81296251770
617,30618,0,20113623,628,1000000,81296251770
618,30619,0,20214316,692,1000000,81296251770
619,30620,0,19715172,505,1000000,81296251770
620,30621,0,19913993,672,1000000,81296251770
621,30622,0,20014116,504,1000000,81296251770
622,30623,0,20081497,575,1000000,81296251770
